mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
194,194,w194,4.9063696058914055e10,221503.26421728882,true,true,522.4139316459379,6.559622421922291,-1.0,273,0.9999999938608917,81,1.0,true,0.0,0.0
195,195,w195,4.951083204558409e10,222510.29649340746,true,true,1011.7196344046267,5.559660485157527,-0.9999989747600939,273,1.0,81,1.0,true,0.0,0.0
196,196,w196,4.9510832056290375e10,222510.2965174654,true,true,1011.7195269280422,5.559659944510396,-1.0,261,0.9999987567427085,93,1.0,true,0.0,0.0
197,197,w197,4.955386800177483e10,222606.98102659502,true,true,33.899857886555864,8.035928926743576,-1.0,200,0.9999999802704774,280,1.0,true,0.0,0.0
198,198,w198,4.9644682823050224e10,222810.86782975876,true,true,29.530178671526198,7.740720204606977,-1.0,208,0.999999974006347,206,1.0,true,0.0,0.0
199,199,w199,4.997341792633368e10,223547.35052407507,true,true,754.6589558233655,6.834787762403383,-0.9999997366011935,274,1.0,78,1.0,true,0.0,0.0
200,200,w200,5.0432320606781975e10,224571.41538223866,true,true,591.8845507197208,5.819121726788796,-1.0,139,0.9999995365595542,279,1.0,true,0.0,0.0
201,201,w201,5.0432320608837395e10,224571.41538681497,true,true,591.8845294093517,5.819121810837443,-0.9999997422046578,285,1.0,69,1.0,true,0.0,0.0
202,202,w202,5.045322058155887e10,224617.9435876815,true,true,766.8533309889704,5.895431102090056,-1.0,233,0.8814985209451558,191,1.0,true,0.0,0.0
203,203,w203,5.0726169437234985e10,225224.70876268213,true,true,1170.8572066513034,5.499568161927284,-0.9999995405607995,76,1.0,124,1.0,true,0.0,0.0
204,204,w204,5.072616944112848e10,225224.7087713257,true,true,1170.857321169169,5.499569094975351,-1.0,68,0.9999998491730646,286,1.0,true,0.0,0.0
205,205,w205,5.196574308454381e10,227959.959388801,true,true,688.0054216217061,6.230802184218029,-0.9999961437003889,161,1.0,191,1.0,true,0.0,0.0
206,206,w206,5.202579008206725e10,228091.62650581292,true,true,676.4028645499253,5.998492418559444,-0.9999975629765209,94,1.0,78,1.0,true,0.0,0.0
207,207,w207,5.2052203338344734e10,228149.51969781733,true,true,32.31999997661886,6.649142390190747,-0.9999999121602179,77,1.0,277,1.0,true,0.0,0.0
208,208,w208,5.205220342852667e10,228149.51989545513,true,true,32.32000602352939,6.649142487914537,-0.9999997690174007,259,1.0,95,1.0,true,0.0,0.0
209,209,w209,5.211697600528408e10,228291.4277963237,true,true,26.767148211261482,7.130479067654403,-1.0,188,0.9999999347550652,166,1.0,true,0.0,0.0
210,210,w210,5.211697609865643e10,228291.42800082624,true,true,26.767158508794274,7.130480374995265,-0.9999999403487211,116,1.0,238,1.0,true,0.0,0.0
211,211,w211,5.2315636363623245e10,228726.11648787124,true,true,401.9806042641039,3.0004791958889125,-0.7193021975781106,170,1.0,177,1.0,true,0.0,0.0
212,212,w212,5.3201896794735954e10,230655.36368083,true,true,652.7989541043481,5.937654328145779,-0.99999993964629,246,1.0,108,1.0,true,0.0,0.0
213,213,w213,5.320189680442599e10,230655.36370183545,true,true,652.7984529336277,5.937649663705253,-1.0,96,0.9999998438517792,272,1.0,true,0.0,0.0
214,214,w214,5.3464163995104774e10,231223.19086783828,true,true,606.7247708243743,7.27948709056896,-1.0,67,0.9999998769463392,259,1.0,true,0.0,0.0
215,215,w215,5.3606998511089554e10,231531.852044356,true,true,835.2751909845866,5.671720197999687,-0.9999998742465446,230,1.0,278,1.0,true,0.0,0.0
216,216,w216,5.368089971047445e10,231691.3889432977,true,true,316.07410430920146,7.63190533333558,-0.9999999436055373,67,1.0,77,1.0,true,0.0,0.0
217,217,w217,5.38961483045154e10,232155.43996321817,true,true,158.05784971677832,7.758284531478719,-0.99999999781976,253,1.0,157,1.0,true,0.0,0.0
218,218,w218,5.3905568461516754e10,232175.72754600502,true,true,941.6415785935989,6.85813759239616,-0.9999998625456874,74,1.0,70,1.0,true,0.0,0.0
219,219,w219,5.4010174769668076e10,232400.892359879,true,true,109.23446520859217,7.271308240908424,-1.0,105,0.9999999658245107,127,1.0,true,0.0,0.0
220,220,w220,5.418212372236114e10,232770.53877662684,true,true,462.62517783659194,6.4851392212760315,-0.9999989579295554,65,1.0,289,1.0,true,0.0,0.0
221,221,w221,5.4182123727272064e10,232770.5387871757,true,true,462.625079315842,6.485137830402538,-0.999998634066066,79,1.0,275,1.0,true,0.0,0.0
222,222,w222,5.42647411808996e10,232947.93663155637,true,true,3476.7977815310487,5.4917381016821025,-1.0,181,0.999999877349347,117,1.0,true,0.0,0.0
223,223,w223,5.428260524101673e10,232986.27693711218,true,true,17.49910630222215,7.8064830411220125,-1.0,151,0.999999899216517,119,1.0,true,0.0,0.0
224,224,w224,5.430841121672118e10,233041.651248701,true,true,15.68616380733008,5.624058738093499,-1.0,241,0.9999999589354487,233,1.0,true,0.0,0.0
225,225,w225,5.5084615592591095e10,234701.1197088567,true,true,303.3448195942729,6.5271598344179145,-0.9999999493377585,275,1.0,65,1.0,true,0.0,0.0
226,226,w226,5.582089097479883e10,236264.451356523,true,true,8.88272505636356,6.182662557926598,-0.9999999360386661,161,1.0,193,1.0,true,0.0,0.0
227,227,w227,5.582089109779344e10,236264.45161681314,true,true,8.88272393605939,6.182662587892761,-0.9999998218505175,191,1.0,163,1.0,true,0.0,0.0
228,228,w228,5.610057861809742e10,236855.6071071517,true,true,86.44904416046637,5.50873479317508,-1.0,149,0.9999998722983201,205,1.0,true,0.0,0.0
229,229,w229,5.610057870963704e10,236855.607300391,true,true,86.44904992707322,5.508734940931688,-1.0,145,0.9999998326202547,209,1.0,true,0.0,0.0
230,230,w230,5.6761198207962456e10,238246.08749770155,true,true,396.10257635279385,5.362729391432505,-0.9999994533809607,79,1.0,275,1.0,true,0.0,0.0
231,231,w231,5.676119825379961e10,238246.0875938986,true,true,396.10266822253453,5.3627310304601465,-0.9999999149671378,289,1.0,65,1.0,true,0.0,0.0
232,232,w232,5.6860088476392845e10,238453.5352566467,true,true,171.43012073917257,7.252669070349851,-1.0,216,0.999999633116096,90,1.0,true,0.0,0.0
233,233,w233,5.6923089515045525e10,238585.60206987665,true,true,80.0441381683259,5.6617185004659,-0.8236018188555426,107,1.0,177,1.0,true,0.0,0.0
234,234,w234,5.702931728379382e10,238808.11812791,true,true,31.75717312584879,6.098554886403429,-0.9999999891316395,102,1.0,182,1.0,true,0.0,0.0
235,235,w235,5.718169972736586e10,239126.95315954214,true,true,50.62350338731598,7.339886783987154,-1.0,149,0.9999998397789861,145,1.0,true,0.0,0.0
236,236,w236,5.74275468318911e10,239640.45324588064,true,true,368.6345751612044,6.00496403912522,-1.0,147,0.9999994310029678,207,1.0,true,0.0,0.0
237,237,w237,5.742754686469246e10,239640.4533143193,true,true,368.63453045009646,6.00496262278551,-1.0,175,0.9999996576185997,179,1.0,true,0.0,0.0
238,238,w238,5.758369981887373e10,239966.03888649272,true,true,153.45503444540003,6.334303678496954,-1.0,194,0.9999999235542799,190,1.0,true,0.0,0.0
239,239,w239,5.7649428055027306e10,240102.95303270908,true,true,216.58997509954642,5.3631820275303745,-0.7847348637627102,97,1.0,177,1.0,true,0.0,0.0
240,240,w240,5.811332339933966e10,241067.05166683326,true,true,101.87057439129401,5.482000392277646,-0.9999997554825873,273,1.0,81,1.0,true,0.0,0.0
241,241,w241,5.811332340144988e10,241067.0516712101,true,true,101.87052847732606,5.481997767581656,-0.9999987645628776,261,1.0,93,1.0,true,0.0,0.0
242,242,w242,5.8318937841663124e10,241493.1424319604,true,true,102.49965187685572,5.0209130176860555,-0.9999994491876879,81,1.0,261,1.0,true,0.0,0.0
243,243,w243,5.83852770253256e10,241630.45550038927,true,true,527.3671025211237,5.451678491396011,-0.8863337248740386,247,1.0,170,1.0,true,0.0,0.0
244,244,w244,5.8407098423717995e10,241675.60576880322,true,true,406.5365199297936,5.777039323002486,-1.0,261,0.9999983367967807,93,1.0,true,0.0,0.0
245,245,w245,5.84070984341064e10,241675.60579029567,true,true,406.5366139376596,5.777041625563424,-1.0,273,0.9999991967445887,81,1.0,true,0.0,0.0
