mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
192,192,1.938078e+05,4.402361e+02,1454.7788,1460.7015,2,12,99.9910,0.0045,0.0045,1.07e-08
193,193,1.948722e+05,4.414433e+02,1458.7680,1460.7015,2,12,99.9893,0.0053,0.0053,8.51e-09
194,194,1.995055e+05,4.466604e+02,1476.0081,1470.5711,7,10,99.9921,0.0040,0.0040,1.03e-08
195,195,2.002236e+05,4.474635e+02,1478.6620,1470.5711,7,10,99.9907,0.0046,0.0046,1.15e-08
196,196,2.008020e+05,4.481093e+02,1480.7963,1470.5711,7,10,99.9907,0.0047,0.0047,1.23e-08
197,197,2.019920e+05,4.494352e+02,1485.1776,1470.5711,7,10,99.9904,0.0048,0.0048,1.53e-08
198,198,2.079215e+05,4.559841e+02,1506.8189,1510.0495,3,12,99.9906,0.0047,0.0047,1.34e-08
199,199,2.112621e+05,4.596326e+02,1518.8752,1510.0495,3,12,99.9905,0.0047,0.0047,1.08e-08
200,200,2.126085e+05,4.610948e+02,1523.7074,1510.0495,3,12,99.9905,0.0047,0.0047,7.45e-09
201,201,2.202219e+05,4.692780e+02,1550.7491,1549.5279,6,11,99.9902,0.0049,0.0049,7.69e-09
202,202,2.233147e+05,4.725618e+02,1561.6006,1549.5279,6,11,99.9900,0.0050,0.0050,9.20e-09
203,203,2.234487e+05,4.727036e+02,1562.0691,1549.5279,6,11,99.9888,0.0056,0.0056,5.12e-09
204,204,2.336807e+05,4.834053e+02,1597.4334,1598.8759,9,9,99.9898,0.0051,0.0051,9.96e-09
205,205,2.341806e+05,4.839221e+02,1599.1410,1598.8759,9,9,99.9902,0.0049,0.0049,6.43e-09
206,206,2.343670e+05,4.841147e+02,1599.7775,1598.8759,9,9,99.9894,0.0053,0.0053,9.34e-09
207,207,2.353318e+05,4.851101e+02,1603.0668,1598.8759,9,9,99.9896,0.0052,0.0052,1.18e-08
208,208,2.436639e+05,4.936233e+02,1631.1990,1618.6151,8,10,99.9896,0.0052,0.0052,6.00e-09
209,209,2.456237e+05,4.956043e+02,1637.7455,1618.6151,8,10,99.9895,0.0052,0.0052,1.07e-08
210,210,2.480356e+05,4.980318e+02,1645.7670,1667.9631,5,12,99.9892,0.0054,0.0054,7.29e-09
211,211,2.552956e+05,5.052678e+02,1669.6789,1667.9631,5,12,99.9889,0.0056,0.0056,6.32e-09
212,212,2.606127e+05,5.105024e+02,1686.9769,1677.8327,1,13,99.9889,0.0056,0.0056,9.03e-09
213,213,2.645696e+05,5.143633e+02,1699.7352,1707.4416,2,13,99.9889,0.0056,0.0056,7.43e-09
214,214,2.653935e+05,5.151635e+02,1702.3797,1707.4416,2,13,99.9888,0.0056,0.0056,8.97e-09
215,215,2.666373e+05,5.163693e+02,1706.3643,1707.4416,2,13,99.9891,0.0055,0.0055,6.37e-09
216,216,2.678978e+05,5.175884e+02,1710.3929,1707.4416,2,13,99.9885,0.0057,0.0057,9.53e-09
217,217,2.806177e+05,5.297337e+02,1750.5273,1756.7896,3,13,99.9882,0.0059,0.0059,5.21e-09
218,218,2.811405e+05,5.302268e+02,1752.1570,1756.7896,3,13,99.9889,0.0055,0.0055,8.31e-09
219,219,2.844457e+05,5.333346e+02,1762.4266,1756.7896,3,13,99.9883,0.0058,0.0058,7.01e-09
220,220,2.870707e+05,5.357898e+02,1770.5400,1776.5288,6,12,99.9883,0.0058,0.0058,5.15e-09
221,221,2.898636e+05,5.383898e+02,1779.1320,1776.5288,6,12,99.9885,0.0058,0.0058,5.69e-09
222,222,2.940425e+05,5.422569e+02,1791.9108,1786.3984,9,10,99.9879,0.0061,0.0061,9.56e-09
223,223,2.962062e+05,5.442483e+02,1798.4915,1786.3984,9,10,99.9881,0.0060,0.0060,8.56e-09
224,224,3.035268e+05,5.509327e+02,1820.5803,1825.8768,4,13,99.9877,0.0061,0.0061,6.19e-09
225,225,3.039659e+05,5.513310e+02,1821.8967,1825.8768,4,13,99.9876,0.0062,0.0062,5.27e-09
226,226,5.136168e+08,2.266312e+04,74891.2251,4441.3220,15,15,99.9895,0.0053,0.0053,2.68e-12
227,227,5.136225e+08,2.266324e+04,74891.6405,4441.3220,15,15,99.9895,0.0052,0.0052,2.01e-12
228,228,5.136328e+08,2.266347e+04,74892.3928,4441.3220,15,15,99.9895,0.0053,0.0053,2.99e-12
229,229,5.136544e+08,2.266395e+04,74893.9668,4441.3220,15,15,99.9901,0.0050,0.0050,2.19e-12
230,230,5.136628e+08,2.266413e+04,74894.5802,4441.3220,15,15,99.9886,0.0057,0.0057,3.01e-12
231,231,5.137033e+08,2.266502e+04,74897.5315,4441.3220,15,15,99.9894,0.0053,0.0053,2.50e-12
232,232,5.137158e+08,2.266530e+04,74898.4421,4441.3220,15,15,99.9889,0.0055,0.0055,2.93e-12
233,233,5.137770e+08,2.266665e+04,74902.8992,4441.3220,15,15,99.9898,0.0051,0.0051,2.20e-12
234,234,5.137869e+08,2.266687e+04,74903.6260,4441.3220,15,15,99.9881,0.0060,0.0060,2.53e-12
235,235,5.138701e+08,2.266870e+04,74909.6859,4441.3220,15,15,99.9890,0.0055,0.0055,2.20e-12
236,236,5.138836e+08,2.266900e+04,74910.6726,4441.3220,15,15,99.9884,0.0058,0.0058,2.95e-12
237,237,5.139899e+08,2.267135e+04,74918.4203,4441.3220,15,15,99.9894,0.0053,0.0053,2.45e-12
