mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
95,3,9,886.7732,888.2644,-2.775000,1.799728,1.735782,99.9945,0.0027,0.0028,3.83e-08
96,3,9,895.3196,888.2644,-2.100035,1.799855,1.743251,99.9943,0.0030,0.0027,3.29e-08
97,3,9,900.5616,888.2644,-1.858736,1.800038,1.734558,99.9946,0.0026,0.0028,3.35e-08
98,3,9,911.2264,888.2644,-1.587532,1.801623,1.746368,99.9943,0.0029,0.0028,3.50e-08
99,3,9,913.7123,888.2644,-1.542890,1.800808,1.740494,99.9944,0.0029,0.0026,3.67e-08
100,3,9,916.9842,888.2644,-1.490361,1.800324,1.736969,99.9945,0.0030,0.0025,3.20e-08
101,4,9,930.8822,957.3516,-1.558327,1.801917,1.721359,99.9945,0.0028,0.0027,3.18e-08
102,4,9,942.7429,957.3516,-1.816458,1.801377,1.733634,99.9942,0.0031,0.0028,2.40e-08
103,4,9,947.1621,957.3516,-1.972920,1.800101,1.737182,99.9940,0.0033,0.0026,2.94e-08
104,4,9,954.5270,957.3516,-2.530115,1.800779,1.728928,99.9943,0.0029,0.0029,3.61e-08
105,4,9,958.1806,957.3516,-3.062507,1.800779,1.739935,99.9940,0.0023,0.0037,2.90e-08
106,7,7,965.6084,967.2212,-2.777938,1.802962,1.737431,99.9940,0.0035,0.0025,2.67e-08
107,7,7,968.1935,967.2212,-2.997757,1.800587,1.741191,99.9939,0.0035,0.0027,3.55e-08
108,7,7,976.4276,967.2212,-2.021437,1.800977,1.745372,99.9937,0.0033,0.0030,2.86e-08
109,6,8,988.4972,986.9604,-2.807698,1.802718,1.743800,99.9937,0.0029,0.0034,3.03e-08
110,6,8,991.5147,986.9604,-2.335880,1.801762,1.737940,99.9938,0.0028,0.0033,2.81e-08
111,1,10,996.3470,996.8300,-3.314623,1.800356,1.738072,99.9937,0.0033,0.0029,3.27e-08
112,1,10,1010.6343,996.8300,-1.858608,1.800127,1.744546,99.9935,0.0029,0.0036,3.07e-08
113,2,10,1015.3246,1026.4389,-1.965452,1.801269,1.750558,99.9933,0.0037,0.0031,2.73e-08
114,2,10,1023.6948,1026.4389,-2.572941,1.801423,1.748898,99.9933,0.0034,0.0033,2.65e-08
115,2,10,1031.0389,1026.4389,-2.348575,1.800201,1.750136,99.9932,0.0038,0.0030,3.00e-08
116,5,9,1038.6313,1046.1781,-2.141843,1.799209,1.737593,99.9935,0.0037,0.0027,2.51e-08
117,5,9,1048.0274,1046.1781,-2.752600,1.800021,1.756570,99.9930,0.0039,0.0031,2.91e-08
118,3,10,1061.9405,1075.7869,-1.890390,1.801535,1.753107,99.9928,0.0032,0.0040,2.97e-08
119,3,10,1084.2304,1075.7869,-2.105201,1.800880,1.749034,99.9929,0.0034,0.0037,2.20e-08
120,3,10,1090.9461,1075.7869,-1.851049,1.801499,1.760748,99.9926,0.0043,0.0031,2.46e-08
121,7,8,1098.6717,1115.2653,-1.827436,1.801475,1.744161,99.9929,0.0044,0.0028,2.98e-08
122,7,8,1106.5414,1115.2653,-2.106668,1.800879,1.737441,99.9931,0.0032,0.0037,2.06e-08
123,7,8,1119.2068,1115.2653,-2.451715,1.801261,1.733800,99.9932,0.0037,0.0031,2.80e-08
124,4,10,1134.9919,1144.8741,-2.063905,1.801800,1.735766,99.9929,0.0033,0.0038,2.09e-08
125,4,10,1145.2740,1144.8741,-3.456809,1.801740,1.753052,99.9923,0.0045,0.0032,1.82e-08
126,6,9,1157.3623,1154.7437,-2.644412,1.802128,1.751872,99.9923,0.0041,0.0036,1.79e-08
127,6,9,1167.3134,1154.7437,-1.963162,1.801238,1.752636,99.9923,0.0040,0.0037,2.89e-08
128,1,11,1185.9544,1204.0917,-1.822085,1.805977,1.752799,99.9918,0.0045,0.0037,2.27e-08
129,1,11,1187.2989,1204.0917,-1.855536,1.804992,1.746135,99.9920,0.0045,0.0035,2.33e-08
130,1,11,1194.5576,1204.0917,-2.101380,1.805467,1.757900,99.9916,0.0051,0.0033,1.76e-08
131,1,11,1206.3116,1204.0917,-2.734328,1.805953,1.748106,99.9920,0.0039,0.0042,2.03e-08
132,1,11,1208.0852,1204.0917,-2.479313,1.806018,1.746383,99.9920,0.0043,0.0037,1.89e-08
133,2,11,1220.1602,1233.7006,-1.959579,1.802555,1.743785,99.9920,0.0042,0.0038,2.18e-08
134,2,11,1222.7569,1233.7006,-2.052046,1.801926,1.756991,99.9915,0.0042,0.0043,1.98e-08
135,2,11,1230.5748,1233.7006,-2.596251,1.802721,1.754216,99.9916,0.0046,0.0038,2.05e-08
136,2,11,1238.9426,1233.7006,-2.371711,1.803002,1.755330,99.9916,0.0045,0.0039,1.83e-08
137,2,11,1246.5905,1233.7006,-1.980959,1.803459,1.762073,99.9913,0.0042,0.0045,1.82e-08
138,8,8,1254.1211,1263.3094,-2.138274,1.801850,1.752665,99.9915,0.0036,0.0049,2.05e-08
139,8,8,1261.0018,1263.3094,-2.738363,1.801829,1.748549,99.9917,0.0034,0.0049,2.23e-08
140,8,8,1267.0890,1263.3094,-2.524054,1.803444,1.761851,99.9912,0.0040,0.0048,1.58e-08
141,8,8,1272.8382,1263.3094,-2.122468,1.802934,1.739942,99.9920,0.0029,0.0051,2.16e-08
142,3,11,1283.2887,1283.0486,-3.727737,1.804111,1.757385,99.9911,0.0034,0.0055,1.96e-08
143,3,11,1296.8260,1283.0486,-1.969074,1.804289,1.758104,99.9911,0.0048,0.0041,2.12e-08
144,3,11,1297.9836,1283.0486,-1.934038,1.804283,1.757636,99.9911,0.0045,0.0044,1.44e-08
145,3,11,1302.9206,1283.0486,-1.810001,1.803278,1.756490,99.9911,0.0056,0.0032,2.14e-08
146,3,11,1309.2564,1283.0486,-1.689813,1.804908,1.761670,99.9910,0.0050,0.0040,1.65e-08
147,6,10,1323.5447,1342.2662,-1.855497,1.802556,1.761906,99.9906,0.0051,0.0043,2.55e-08
148,6,10,1335.3681,1342.2662,-2.289107,1.802784,1.751264,99.9910,0.0030,0.0060,1.57e-08
149,4,11,1349.0939,1352.1358,-2.647869,1.802654,1.768548,99.9903,0.0061,0.0036,1.37e-08
150,4,11,1359.7047,1352.1358,-2.251986,1.802342,1.767612,99.9903,0.0062,0.0035,1.10e-08
